Version,1,2,3,4,5,6,7,8
Baseline Copy,16.4393,11.0126,8.7214,7.1926,7.2223,7.5639,8.391,9.038
Baseline Overlap,16.1371,8.0562,7.4151,7.8871,8.2864,9.4964,9.9443,10.0324
Baseline P2P,29.6104,17.0617,12.298,9.706,8.3281,7.3623,6.6295,6.5249
Baseline NVSHMEM (No Computation),57.0715,32.6568,23.7486,18.723,16.4555,14.1128,13.8677,12.7757
CPU-Free (Ours),3.8826,4.1155,4.119,4.1262,4.1281,4.1229,4.126,4.1301
