Execution time on 8A100
Matrix,Version,1 GPU,2 GPUs,3 GPUs,4 GPUs,5 GPUs,6 GPUs,7 GPUs,8 GPUs
Bump_2911,CPU-Free Standard CG (Ours),14.3701,7.8989,5.4925,4.4051,3.863,3.3179,2.9546,2.7851
Bump_2911,CPU-Free Pipelined CG (Ours),14.689,7.8024,5.5092,4.328,3.7771,3.1248,2.7592,2.5555
G3_circuit,CPU-Controlled Standard CG (Baseline),2.5023,3.7682,0.953,0.8711,0.8943,0.9065,0.9319,0.8587
G3_circuit,CPU-Controlled Pipelined CG (Baseline),2.9327,3.546,0.7473,0.6819,0.647,0.6261,0.6167,0.5969
G3_circuit,CPU-Free Standard CG (Ours),1.0032,0.629,0.5944,0.5024,0.5205,0.5458,0.5481,0.4944
G3_circuit,CPU-Free Pipelined CG (Ours),1.3328,0.7013,0.482,0.4067,0.3483,0.3353,0.3089,0.267
StocF-1465,CPU-Controlled Standard CG (Baseline),5.6227,7.8453,2.0184,1.7198,1.7201,1.7477,1.5059,1.3006
StocF-1465,CPU-Controlled Pipelined CG (Baseline),5.9371,7.5004,1.8206,1.5097,1.4434,1.4698,1.1943,0.9862
StocF-1465,CPU-Free Standard CG (Ours),2.5126,1.5774,1.3515,1.2178,1.1201,1.1827,1.0013,0.9293
StocF-1465,CPU-Free Pipelined CG (Ours),2.7073,1.5887,1.2203,1.0915,0.9886,0.9885,0.76,0.7593
Flan_1565,CPU-Controlled Standard CG (Baseline),64.315,66.5657,14.6134,10.3359,8.6489,7.7311,7.0802,5.0636
Flan_1565,CPU-Controlled Pipelined CG (Baseline),64.394,61.1648,14.3337,10.1201,8.3164,7.4499,6.5104,4.7529
Flan_1565,CPU-Free Standard CG (Ours),12.5796,6.8416,4.5611,3.639,2.9375,2.8413,2.8067,2.0338
Flan_1565,CPU-Free Pipelined CG (Ours),12.7458,6.8661,4.4347,3.5191,2.7491,2.6405,2.5838,1.8368
audikw_1,CPU-Controlled Standard CG (Baseline),43.4008,51.0369,12.9838,10.6732,8.9088,7.3355,6.4399,5.9428
audikw_1,CPU-Controlled Pipelined CG (Baseline),42.4099,42.6004,11.0383,10.0636,8.6037,6.9791,6.0815,5.5961
audikw_1,CPU-Free Standard CG (Ours),10.083,7.6605,6.4953,6.5801,6.2063,6.2247,6.2952,6.1942
audikw_1,CPU-Free Pipelined CG (Ours),10.0669,7.4672,6.1977,6.3064,5.854,5.9025,5.9857,5.9297
Serena,CPU-Controlled Standard CG (Baseline),26.0865,30.4214,6.9707,5.2768,4.8887,4.708,3.9027,3.0997
Serena,CPU-Controlled Pipelined CG (Baseline),26.2244,29.7305,6.7932,5.0573,4.5717,4.428,3.5637,2.7513
Serena,CPU-Free Standard CG (Ours),7.8066,4.6298,3.8081,3.1878,2.7332,2.655,2.1751,2.2139
Serena,CPU-Free Pipelined CG (Ours),7.8163,4.5817,3.4943,3.0488,2.5095,2.3752,1.9782,1.9609
Geo_1438,CPU-Controlled Standard CG (Baseline),33.0064,36.6078,7.3688,5.4684,4.7799,4.5227,3.5675,2.7082
Geo_1438,CPU-Controlled Pipelined CG (Baseline),33.0024,35.1313,7.1418,5.2423,4.4987,4.2249,3.2263,2.3747
Geo_1438,CPU-Free Standard CG (Ours),7.139,3.9244,2.9589,2.3903,1.9736,1.9463,1.5077,1.4363
Geo_1438,CPU-Free Pipelined CG (Ours),7.5311,3.9259,2.8444,2.2771,1.7888,1.7473,1.3002,1.2416
Hook_1498,CPU-Controlled Standard CG (Baseline),25.7073,27.4456,5.8245,4.2493,3.9473,3.7989,3.1083,2.4462
Hook_1498,CPU-Controlled Pipelined CG (Baseline),25.6866,26.5544,5.5745,4.032,3.6481,3.469,2.7629,2.1242
Hook_1498,CPU-Free Standard CG (Ours),7.1515,3.9122,3.0067,2.4438,2.0523,2.0392,1.5808,1.5216
Hook_1498,CPU-Free Pipelined CG (Ours),7.3716,3.9326,2.8415,2.339,1.8562,1.8735,1.3468,1.3077
ldoor,CPU-Controlled Standard CG (Baseline),25.885,25.7939,5.2729,4.5463,3.1588,2.3993,2.0252,1.8501
ldoor,CPU-Controlled Pipelined CG (Baseline),25.5745,24.5312,5.0285,4.3278,2.8475,2.0421,1.6541,1.4912
ldoor,CPU-Free Standard CG (Ours),5.2679,3.2952,2.3038,2.1613,1.7423,1.6891,1.6856,1.6051
ldoor,CPU-Free Pipelined CG (Ours),5.4471,3.246,2.1545,2.0084,1.5365,1.4573,1.4452,1.4296
