Version,1 GPU (256x256),2 GPUs (256x512),4 GPUs (512x512),8 GPUs (512x1024)
Baseline Copy,12.7818,42.7438,64.9559,81.4121
Baseline Overlap,18.2912,63.732,75.788,100.9295
Baseline P2P,4.0037,28.105,39.5831,61.4564
Baseline NVSHMEM,13.5165,17.3821,14.4411,14.6838
CPU-Free (Ours),11.0862,11.0697,11.4963,11.4811
CPU-Free (Ours + PERKS),16.1236,15.291,16.6956,16.73
