Version,1 GPU (2048x1024),2 GPUs (2048x2048),4 GPUs (4096x2048),8 GPUs (4096x4096)
Baseline Copy,18.0521,42.88,67.3238,83.8113
Baseline Overlap,19.9917,73.2787,86.0336,102.6413
Baseline P2P,11.9066,33.1121,48.0276,63.7284
Baseline NVSHMEM,20.2334,24.1339,23.9423,24.2244
CPU-Free (Ours),12.095,12.3177,12.2255,12.3814
PERKS + Ours,14.3985,14.5411,14.5367,14.5505
