Small Domain Weak Scaling
Version,1 GPU (256x256),2 GPUs (256x512),4 GPUs (512x512),8 GPUs (512x1024)
Single Stream 2TB,2.4132,3.2832,3.4327,3.8099
Single Stream 1TB,3.0105,4.6844,4.734,5.0006
Baseline Copy Overlap,12.3663,31.1103,69.8461,96.4217
Baseline Copy,7.9615,23.6853,55.2348,74.4993
Baseline P2P,3.224,18.2069,33.2891,58.6196
Design 1,4.4098,5.0639,5.0658,5.9583
PERKS,1.5574,1.5892,1.6003,1.616
