Execution time on 8A100
Matrix,Version,1 GPU,2 GPUs,3 GPUs,4 GPUs,5 GPUs,6 GPUs,7 GPUs,8 GPUs
Bump_2911,PETSc Standard CG (Baseline),9.03382,5.43089,4.13153,3.49298,3.12544,2.90848,2.74613,2.63249
Bump_2911,PETSc Pipelined CG (Baseline),11.3537,6.60967,5.1228,4.32569,3.87481,3.6247,3.43031,3.2804
Bump_2911,CPU-Free Standard CG (Ours),16.1984,8.8763,6.2229,4.7764,4.1166,3.6153,3.1451,2.9785
Bump_2911,CPU-Free Pipelined CG (Ours),16.8902,9.2653,6.3935,4.7492,4.1129,3.4106,2.976,2.7573
G3_circuit,PETSc Standard CG (Baseline),2.15401,2.05849,1.93193,2.27364,1.8068,1.76634,1.85851,1.77646
G3_circuit,PETSc Pipelined CG (Baseline),3.45489,2.97603,2.66135,3.31637,2.42715,2.37077,2.44564,2.25356
G3_circuit,CPU-Free Standard CG (Ours),1.1642,0.6975,0.6273,0.5219,0.5142,0.5385,0.5371,0.4945
G3_circuit,CPU-Free Pipelined CG (Ours),1.5604,0.7954,0.5452,0.4459,0.3806,0.3508,0.3169,0.2841
StocF-1465,PETSc Standard CG (Baseline),2.7752,2.26694,2.04025,1.918,1.89514,1.85453,1.85313,1.80894
StocF-1465,PETSc Pipelined CG (Baseline),4.02214,3.14133,2.76233,2.60412,2.47559,2.4319,2.38132,2.33919
StocF-1465,CPU-Free Standard CG (Ours),2.7508,1.7133,1.426,1.2861,1.1741,1.2486,1.0459,0.9734
StocF-1465,CPU-Free Pipelined CG (Ours),3.0745,1.7891,1.3563,1.2133,1.1072,1.0609,0.8578,0.8263
Flan_1565,PETSc Standard CG (Baseline),7.43363,4.56097,3.59466,3.13111,2.86198,2.69687,2.56616,2.48977
Flan_1565,PETSc Pipelined CG (Baseline),8.6895,5.5233,4.35249,3.77872,3.45338,3.27439,3.11714,2.99699
Flan_1565,CPU-Free Standard CG (Ours),14.0705,7.624,4.9984,3.9651,3.1919,3.0646,3.0099,2.1834
Flan_1565,CPU-Free Pipelined CG (Ours),14.2734,7.6656,4.8582,3.8598,3.0228,2.8647,2.8252,2.0111
audikw_1,PETSc Standard CG (Baseline),5.13974,4.41588,3.45336,3.26364,3.18509,3.13089,3.07826,3.05048
audikw_1,PETSc Pipelined CG (Baseline),6.14192,5.08473,4.07218,3.89361,3.7008,3.64637,3.62391,3.47192
audikw_1,CPU-Free Standard CG (Ours),11.1142,8.201,6.7993,6.8489,6.4023,6.3677,6.451,6.3556
audikw_1,CPU-Free Pipelined CG (Ours),11.1379,8.1553,6.6409,6.6996,6.1838,6.2322,6.2419,6.261
Serena,PETSc Standard CG (Baseline),4.84244,3.34214,2.85297,2.54514,2.7779,2.59337,2.39993,2.30231
Serena,PETSc Pipelined CG (Baseline),6.08305,4.19027,3.51213,3.16678,3.69522,3.39027,2.99295,2.83213
Serena,CPU-Free Standard CG (Ours),8.4493,5.0357,4.1395,3.3958,2.8998,2.8677,2.3466,2.3186
Serena,CPU-Free Pipelined CG (Ours),8.6273,4.9531,3.8417,3.2641,2.6854,2.5766,2.1669,2.0672
Geo_1438,PETSc Standard CG (Baseline),4.81247,3.30403,2.72887,2.44915,2.31805,2.20126,2.15646,2.1165
Geo_1438,PETSc Pipelined CG (Baseline),6.03295,4.14518,3.42748,3.09182,2.88296,2.78608,2.69414,2.63707
Geo_1438,CPU-Free Standard CG (Ours),7.9904,4.38,3.2204,2.6117,2.1334,2.0905,1.619,1.5386
Geo_1438,CPU-Free Pipelined CG (Ours),8.5533,4.3843,3.1485,2.5303,1.9604,1.9029,1.4207,1.3484
Hook_1498,PETSc Standard CG (Baseline),4.75681,3.24789,2.71978,2.44187,2.28884,2.19994,2.15209,2.09695
Hook_1498,PETSc Pipelined CG (Baseline),5.99978,4.12506,3.42653,3.08446,2.88834,2.78178,2.67117,2.61112
Hook_1498,CPU-Free Standard CG (Ours),7.6873,4.202,3.277,2.6277,2.1754,2.1558,1.6689,1.601
Hook_1498,CPU-Free Pipelined CG (Ours),7.9753,4.2877,3.0847,2.5193,2.0205,2.0173,1.4679,1.4173
ldoor,PETSc Standard CG (Baseline),3.70752,2.89388,2.51786,2.23939,2.18641,2.1414,2.13577,2.07483
ldoor,PETSc Pipelined CG (Baseline),4.75603,3.5976,3.10611,2.7835,2.64955,2.64196,2.55051,2.51922
ldoor,CPU-Free Standard CG (Ours),5.8083,3.5404,2.4586,2.3218,1.8175,1.7812,1.7579,1.6939
ldoor,CPU-Free Pipelined CG (Ours),5.9693,3.5616,2.3384,2.1865,1.6432,1.5772,1.5609,1.515
