Execution time on 8A100
Matrix,Version,1 GPU,2 GPUs,3 GPUs,4 GPUs,5 GPUs,6 GPUs,7 GPUs,8 GPUs
ecology2,PETSc Standard CG (Baseline),1.70633,1.62417,1.61999,1.60069,1.61318,1.61136,1.6164,1.59693
ecology2,PETSc Pipelined CG (Baseline),2.71989,2.4203,2.27544,2.18927,2.08796,2.11467,2.12387,2.10448
ecology2,CPU-Free Standard CG (Ours),0.7294,0.5008,0.4574,0.3635,0.4262,0.4339,0.4352,0.4053
ecology2,CPU-Free Pipelined CG (Ours),0.9794,0.4938,0.3958,0.2994,0.2186,0.2155,0.2147,0.215
hood,PETSc Standard CG (Baseline),1.63816,1.7994,1.65667,1.63272,1.63373,1.6411,1.66058,1.69914
hood,PETSc Pipelined CG (Baseline),2.18104,2.3007,2.14913,2.13179,2.11164,2.11874,2.14019,2.1753
hood,CPU-Free Standard CG (Ours),1.5417,0.9829,0.9564,0.9084,0.985,0.9853,0.995,0.9736
hood,CPU-Free Pipelined CG (Ours),1.7754,1.3665,0.7979,0.7698,0.7618,0.7495,0.755,0.7619
bmwcra_1,PETSc Standard CG (Baseline),1.58927,1.71955,1.68064,1.64007,1.69052,1.68323,1.69396,1.71697
bmwcra_1,PETSc Pipelined CG (Baseline),2.09855,2.22565,2.18341,2.11127,2.16658,2.10723,2.12257,2.13319
bmwcra_1,CPU-Free Standard CG (Ours),2.7699,2.0128,1.9522,1.7068,1.7848,1.7758,1.8102,1.8006
bmwcra_1,CPU-Free Pipelined CG (Ours),2.7934,1.9364,1.8036,1.7046,1.584,1.5395,1.5993,1.5992
consph,PETSc Standard CG (Baseline),1.33158,1.57198,1.54253,1.5344,1.54643,1.59511,1.58268,1.6349
consph,PETSc Pipelined CG (Baseline),1.86674,2.07807,2.01901,2.0172,2.02355,2.04191,2.02983,2.0783
consph,CPU-Free Standard CG (Ours),0.8424,0.8791,0.9328,0.9201,1.0026,1.0224,1.033,1.0014
consph,CPU-Free Pipelined CG (Ours),0.8345,0.7944,0.775,0.7831,0.7896,0.7946,0.8022,0.7951
thermomech_dM,PETSc Standard CG (Baseline),0.96812,1.28174,1.28948,1.3402,1.3976,1.40146,1.35627,1.42132
thermomech_dM,PETSc Pipelined CG (Baseline),1.69525,1.98411,1.97075,1.99949,2.12302,2.10922,2.05756,2.10428
thermomech_dM,CPU-Free Standard CG (Ours),0.2346,0.3451,0.4604,0.4497,0.5163,0.5359,0.5341,0.5073
thermomech_dM,CPU-Free Pipelined CG (Ours),0.2545,0.2501,0.2968,0.2882,0.2823,0.2852,0.2786,0.2813
tmt_sym,PETSc Standard CG (Baseline),1.52754,1.6336,1.60196,1.5765,1.59763,1.55332,1.58724,1.57532
tmt_sym,PETSc Pipelined CG (Baseline),2.45799,2.29671,2.17524,2.06953,2.07399,2.09692,2.10713,2.08757
tmt_sym,CPU-Free Standard CG (Ours),0.7111,0.5139,0.4488,0.3718,0.4542,0.4557,0.4189,0.3997
tmt_sym,CPU-Free Pipelined CG (Ours),0.8567,0.4968,0.3783,0.2509,0.2383,0.2298,0.1893,0.1944
crankseg_1,PETSc Standard CG (Baseline),1.53613,1.65505,1.6128,1.58754,1.61412,1.6224,1.65268,1.69321
crankseg_1,PETSc Pipelined CG (Baseline),2.08083,2.14853,2.08831,2.0539,2.07089,2.08512,2.12358,2.14513
crankseg_1,CPU-Free Standard CG (Ours),9.6901,12.7217,13.0966,12.7187,12.2335,12.4137,11.5104,11.3336
crankseg_1,CPU-Free Pipelined CG (Ours),9.7057,12.669,12.9545,12.6,12.1646,11.7385,11.2815,11.2028
crankseg_2,PETSc Standard CG (Baseline),1.68939,1.78644,1.70586,1.67023,1.67171,1.6831,1.71737,1.73257
crankseg_2,PETSc Pipelined CG (Baseline),2.21535,2.26075,2.19422,2.12745,2.11669,2.1209,2.15291,2.1922
crankseg_2,CPU-Free Standard CG (Ours),11.8663,15.651,16.4438,16.4056,16.6857,16.6297,16.288,15.7104
crankseg_2,CPU-Free Pipelined CG (Ours),11.7643,15.5394,16.0747,16.1663,16.311,16.2807,15.5771,15.2049
Queen_4147,PETSc Standard CG (Baseline),19.2336,10.6723,7.67616,6.24668,5.33913,4.77601,4.37769,4.07954
Queen_4147,PETSc Pipelined CG (Baseline),22.3589,12.2301,8.78557,7.21582,6.24988,5.56784,5.12595,4.78084
Queen_4147,CPU-Free Standard CG (Ours),40.7202,20.248,13.9241,10.6198,8.5845,7.4949,6.4068,5.4092
Queen_4147,CPU-Free Pipelined CG (Ours),41.2758,20.436,13.7401,10.4722,8.3445,7.2107,6.1665,5.1766
